periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tieneetnia;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas;estu_grupoetnia;fami_numhermanos;estu_comunidadcampesina;estu_numhijos;estu_horastrabnoremu;fami_posicionhermanos;estu_tiempocasaacole;estu_desplazacolegio
20252;SB11202530233286;ESTUDIANTE;CC;RURAL;N;A;TÉCNICO/ACADÉMICO;286320001839;286320001839;86;86320;185819;PUTUMAYO;MIXTO;SABATINA;ORITO;OFICIAL;I.E.R. FRANCISCO JOSE DE CALDAS;IE RUR FRANCISCO JOSE DE CALDAS - SEDE PRICIPAL;S;3;A1;3;3;2;S;86;86320;86;86320;30 minutos o menos;30 minutos o menos;PUTUMAYO;PUTUMAYO;N;;22/05/2002;F;26;Entre 11 y 20 horas;27.771074;ORITO;ORITO;COLOMBIA;2;1;COLOMBIA;N;0;;Si, en efectivo;1 o 2 veces por semana;1 o 2 veces por semana;Nunca o rara vez comemos eso;Uno;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;No;No;No;No;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;67;50;46;41;46;47;56;257;50;52;52;46;NINGUNO;4 o más;SI;1;Entre 21 y 30 horas;El/La mayor;Entre 30 minutos y una hora;En bus o transporte público
20252;SB11202530296649;ESTUDIANTE;CC;URBANA;;A;ACADÉMICO;186001003603;186001003603;86;86001;155994;PUTUMAYO;MIXTO;SABATINA;MOCOA;OFICIAL;IE FIDEL DE MONTCLAR;COL BAS FIDEL DE MONCLART;S;2;A1;3;1;2;S;86;86001;86;86001;Más de 3 horas;30 minutos o menos;PUTUMAYO;PUTUMAYO;N;;09/08/2006;F;26;Menos de 10 horas;49.029694;MOCOA;MOCOA;COLOMBIA;2;2;COLOMBIA;N;278055;;Si, en efectivo;1 o 2 veces por semana;1 o 2 veces por semana;Nunca o rara vez comemos eso;Dos;Secundaria (Bachillerato) completa;Primaria completa;Sin Estrato;0 A 10 LIBROS;1 a 2;Igual;No;Si;Si;No;Si;Si;No;No;Es vendedor o trabaja en atención al público;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;25;16;47;37;1;36;43;203;50;51;23;42;NINGUNO;4 o más;NO;0;Entre 21 y 30 horas;En medio;Entre 15 y 30 minutos;En transporte escolar o particular
20252;SB11202530297102;ESTUDIANTE;TI;URBANA;N;A;TÉCNICO/ACADÉMICO;186001001783;186001001783;86;86001;79418;PUTUMAYO;MIXTO;MAÑANA;MOCOA;OFICIAL;IE CIUDAD MOCOA;COL CIUDAD MOCOA;S;3;B1;3;3;3;S;86;86001;86;86001;30 minutos o menos;Entre 30 y 60 minutos;PUTUMAYO;PUTUMAYO;N;;18/05/2007;F;11;0;40.200165;MOCOA;MOCOA;COLOMBIA;2;1;COLOMBIA;N;0;;No;1 o 2 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Cuatro;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;11 A 25 LIBROS;5 a 6;Peor;No;No;No;No;No;Si;Si;Si;No sabe;No aplica;73;81;95;83;79;73;58;309;75;65;63;57;NINGUNO;1;NO;0;Menos de 10 horas;El/La mayor;Menos de 15 minutos;En transporte escolar o particular
20252;SB11202530036045;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;286320000361;286320000361;86;86320;749689;PUTUMAYO;MIXTO;UNICA;ORITO;OFICIAL;IE RUR TESALIA;IE RUR TESALIA - SEDE PRINCIPAL;S;2;A1;3;3;2;S;86;86320;86;86320;30 minutos o menos;30 minutos o menos;PUTUMAYO;PUTUMAYO;N;;18/04/2008;F;11;Entre 11 y 20 horas;25.726042;ORITO;ORITO;COLOMBIA;2;1;COLOMBIA;N;0;;No;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Tres;Ninguno;Ninguno;Estrato 1;0 A 10 LIBROS;3 a 4;Peor;No;Si;No;No;No;No;Si;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;58;54;49;41;54;58;53;263;51;52;55;51;NINGUNO;4 o más;SI;0;Menos de 10 horas;El/La menor;Entre 15 y 30 minutos;En transporte escolar o particular
20252;SB11202530543768;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;286757000114;286757004179;86;86757;584771;PUTUMAYO;MIXTO;MAÑANA;SAN MIGUEL;OFICIAL;I.E.R. AGUA CLARA;CAMPESTRE HELICONIAS;N;2;A-;2;2;2;S;86;86865;86;86757;Entre 1 y 3 horas;Entre 1 y 2 horas;PUTUMAYO;PUTUMAYO;N;;20/08/2009;F;11;0;66.07637;VALLE DEL GUAMUEZ;SAN MIGUEL;COLOMBIA;2;4;COLOMBIA;N;0;;No;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Tres;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 3;0 A 10 LIBROS;5 a 6;Mejor;Si;Si;Si;Si;Si;Si;Si;Si;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);24;23;9;29;23;35;42;215;37;48;42;42;NINGUNO;1;SI;0;0;El/La mayor;Entre 15 y 30 minutos;Caminando o en bicicleta
20252;SB11202530297391;ESTUDIANTE;CC;URBANA;N;A;TÉCNICO/ACADÉMICO;186001001783;186001001783;86;86001;79418;PUTUMAYO;MIXTO;MAÑANA;MOCOA;OFICIAL;IE CIUDAD MOCOA;COL CIUDAD MOCOA;S;3;A2;3;3;2;S;86;86001;86;86001;;;PUTUMAYO;PUTUMAYO;N;;20/07/2006;M;11;0;;MOCOA;MOCOA;COLOMBIA;2;;COLOMBIA;N;0;;No;;;;Seis o mas;;;;;9 o más;Peor;No;No;No;No;;Si;Si;;No sabe;Trabaja por cuenta propia (por ejemplo plomero, electricista);90;78;82;78;62;69;66;303;65;63;57;55;NINGUNO;2;NO;0;Menos de 10 horas;En medio;Entre 15 y 30 minutos;En transporte escolar o particular
20252;SB11202530265724;ESTUDIANTE;CC;URBANA;N;A;TÉCNICO/ACADÉMICO;286001001516;286001001516;86;86571;662254;PUTUMAYO;MIXTO;SABATINA;PUERTO GUZMÁN;OFICIAL;IE AMAZONICA;INST AMAZONICO DE PTO GUZMAN;S;1;A-;2;1;2;S;86;86571;86;86571;;;PUTUMAYO;PUTUMAYO;N;Inga;09/05/1987;F;26;Entre 11 y 20 horas;;PUERTO GUZMÁN;PUERTO GUZMÁN;COLOMBIA;2;;COLOMBIA;N;0;S;No;;;;Cuatro;;;;;7 a 8;Peor;No;No;No;No;;Si;No;;Es agricultor, pesquero o jornalero;No aplica;5;4;7;7;1;35;34;173;35;39;23;42;INDIGENA;4 o más;SI;1;0;En medio;Menos de 15 minutos;Caminando o en bicicleta
20252;SB11202530490246;ESTUDIANTE;TI;URBANA;N;A;ACADÉMICO;286568002602;286568002602;86;86569;84996;PUTUMAYO;MIXTO;NOCHE;PUERTO CAICEDO;OFICIAL;I.E. JOSE ANTONIO GALAN;COL JOSE ANTONIO GALAN;S;2;A-;2;2;1;S;86;86568;86;86885;Más de 3 horas;30 minutos o menos;PUTUMAYO;PUTUMAYO;N;Inga;04/01/2008;M;26;Más de 30 horas;56.424038;PUERTO ASÍS;VILLAGARZÓN;COLOMBIA;2;3;COLOMBIA;N;0;S;Si, en efectivo;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Seis o mas;Primaria completa;Primaria completa;Estrato 4;0 A 10 LIBROS;3 a 4;Mejor;Si;Si;No;Si;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;No aplica;23;13;7;7;25;17;42;196;35;38;43;35;INDIGENA;4 o más;SI;0;0;En medio;Menos de 15 minutos;En transporte escolar o particular
20252;SB11202530297811;ESTUDIANTE;TI;URBANA;;A;ACADÉMICO;186001003603;186001003603;86;86001;740993;PUTUMAYO;MIXTO;UNICA;MOCOA;OFICIAL;IE FIDEL DE MONTCLAR;COL BAS FIDEL DE MONCLART;S;3;A2;4;4;3;S;86;86001;86;86001;Entre 1 y 3 horas;30 minutos o menos;PUTUMAYO;PUTUMAYO;N;;12/04/2007;M;11;Menos de 10 horas;45.377445;MOCOA;MOCOA;COLOMBIA;2;2;COLOMBIA;N;0;;Si, en efectivo;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Técnica o tecnológica completa;Primaria completa;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;Si;No;No;No;Si;Si;Si;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;91;91;77;87;96;81;66;333;62;67;75;60;NINGUNO;1;NO;0;Menos de 10 horas;El/La mayor;Menos de 15 minutos;Caminando o en bicicleta
20252;SB11202530297903;ESTUDIANTE;TI;URBANA;;A;ACADÉMICO;186001003603;186001003603;86;86001;740993;PUTUMAYO;MIXTO;UNICA;MOCOA;OFICIAL;IE FIDEL DE MONTCLAR;COL BAS FIDEL DE MONCLART;S;3;A2;4;3;2;S;86;86001;86;86001;No Navega Internet;Entre 1 y 2 horas;PUTUMAYO;PUTUMAYO;N;;23/05/2008;F;11;Menos de 10 horas;35.915199;MOCOA;MOCOA;COLOMBIA;2;1;COLOMBIA;N;0;;No;1 o 2 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Dos;Educación profesional completa;Educación profesional completa;Estrato 1;0 A 10 LIBROS;5 a 6;Peor;No;No;No;No;No;No;No;No;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;92;87;77;99;89;44;67;323;62;77;69;46;NINGUNO;2;NO;0;Menos de 10 horas;En medio;Menos de 15 minutos;En transporte escolar o particular
