periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_etnia;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20232;SB11202340449060;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001002496;163001002496;63;63001;253260;QUINDIO;MIXTO;TARDE;ARMENIA;OFICIAL;INSTITUCION EDUCATIVA CIUDAD DORADA;CIUDAD DORADA;S;3;A2;3;4;3;S;63;63001;63;63001;Entre 1 y 3 horas;Entre 1 y 2 horas;QUINDIO;QUINDIO;N;;16/05/2007;F;11;Entre 21 y 30 horas;53.398186;ARMENIA;ARMENIA;COLOMBIA;3;3;COLOMBIA;N;0;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;5 a 6;Igual;Si;No;No;No;Si;No;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja en el hogar, no trabaja o estudia;90;89;85;68;98;78;64;320;64;59;75;58
20232;SB11202340448877;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;263130000925;263130000925;63;63130;13045;QUINDIO;MIXTO;MAÑANA;CALARCÁ;OFICIAL;INSTITUCION EDUCATIVA CIUDADELA SAN BERNARDO;SAN BERNARDO;S;1;A-;3;2;2;S;63;63130;63;63130;Entre 1 y 3 horas;Entre 30 y 60 minutos;QUINDIO;QUINDIO;N;;27/03/2007;F;11;Menos de 10 horas;53.795311;CALARCÁ;CALARCÁ;COLOMBIA;2;3;COLOMBIA;N;0;Si, en efectivo;3 a 5 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Cuatro;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;3 a 4;Mejor;No;Si;No;Si;Si;Si;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;19;29;41;42;22;38;40;222;47;51;42;44
20232;SB11202340031627;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;163548000200;163548000200;63;63548;739797;QUINDIO;MIXTO;UNICA;PIJAO;OFICIAL;INSTITUCION EDUCATIVA SANTA TERESITA;SANTA TERESITA;S;3;A-;3;3;2;S;63;63548;63;63548;Entre 1 y 3 horas;30 minutos o menos;QUINDIO;QUINDIO;N;;28/12/2006;F;11;0;48.542675;PIJAO;PIJAO;COLOMBIA;2;2;COLOMBIA;N;0;No;3 a 5 veces por semana;1 o 2 veces por semana;Todos o casi todos los días;Dos;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 2;11 A 25 LIBROS;3 a 4;Igual;No;Si;No;No;No;No;Si;No;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;70;60;35;54;77;41;56;267;45;54;61;45
20232;SB11202340069329;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163001002941;163001002941;63;63001;734665;QUINDIO;MIXTO;UNICA;ARMENIA;OFICIAL;ESTABLECIMIENTO EDUCATIVO CASD HERMOGENES MAZA;CASD HERMOGENES MAZA;S;3;A1;3;3;3;S;63;63001;63;63001;Entre 1 y 3 horas;30 minutos o menos;QUINDIO;QUINDIO;N;;21/04/2006;M;11;0;57.693783;ARMENIA;ARMENIA;COLOMBIA;3;3;COLOMBIA;N;0;No;Todos o casi todos los días;3 a 5 veces por semana;1 o 2 veces por semana;Tres;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;7 a 8;Peor;No;Si;Si;Si;Si;Si;Si;Si;Es vendedor o trabaja en atención al público;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);70;71;68;59;73;74;56;284;55;56;59;57
20232;SB11202340029994;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;363470000282;363470000282;63;63470;700419;QUINDIO;MIXTO;UNICA;MONTENEGRO;OFICIAL;INSTITUCION EDUCATIVA SANTA MARIA GORETTI;SANTA MARIA GORETTI;S;2;A2;3;3;1;S;63;63470;63;63470;Entre 1 y 3 horas;No leo por entretenimiento;QUINDIO;QUINDIO;N;;29/08/2004;M;11;Menos de 10 horas;54.318993;MONTENEGRO;MONTENEGRO;COLOMBIA;3;3;COLOMBIA;N;0;Si, en efectivo;3 a 5 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Dos;Técnica o tecnológica completa;Técnica o tecnológica incompleta;Estrato 1;0 A 10 LIBROS;1 a 2;Igual;No;Si;No;Si;Si;Si;Si;Si;Es vendedor o trabaja en atención al público;Es vendedor o trabaja en atención al público;61;58;84;59;78;17;53;263;63;56;61;37
20232;SB11202340345553;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163130000033;163130000033;63;63130;253401;QUINDIO;MIXTO;TARDE;CALARCÁ;OFICIAL;INSTITUCION EDUCATIVA JHON F. KENEDY;JHON F KENNEDY;S;3;A2;3;2;3;N;63;63130;63;63130;30 minutos o menos;Entre 30 y 60 minutos;QUINDIO;QUINDIO;S;;10/06/2006;M;11;0;52.726051;CALARCÁ;CALARCÁ;COLOMBIA;3;3;COLOMBIA;N;0;No;3 a 5 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) incompleta;Postgrado;Estrato 3;11 A 25 LIBROS;3 a 4;Igual;Si;Si;No;Si;No;Si;No;Si;No aplica;No aplica;73;65;78;53;46;73;57;273;60;54;50;56
20232;SB11202340055282;ESTUDIANTE;TI;URBANO;;A;NO APLICA;363001002533;363001002533;63;63001;621920;QUINDIO;MIXTO;COMPLETA;ARMENIA;NO OFICIAL;LICEO MIGUEL DE CERVANTES SAAVEDRA;LICEO MIGUEL DE CERVANTES SAAVEDRA;S;2;A1;3;2;2;S;63;63001;63;63001;Entre 1 y 3 horas;No leo por entretenimiento;QUINDIO;QUINDIO;N;;06/07/2006;F;11;0;67.039871;ARMENIA;ARMENIA;COLOMBIA;3;4;COLOMBIA;N;0;No;Todos o casi todos los días;3 a 5 veces por semana;1 o 2 veces por semana;Dos;Educación profesional completa;Educación profesional completa;Estrato 5;26 A 100 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);48;44;49;45;43;38;49;243;49;52;49;44
20232;SB11202340038821;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;163130000157;163130000157;63;63130;734087;QUINDIO;MIXTO;UNICA;CALARCÁ;OFICIAL;INSTITUCION EDUCATIVA ROMAN MARIA VALENCIA;ROMAN MARIA VALENCIA;S;2;A-;2;3;2;S;63;63130;63;63130;Más de 3 horas;30 minutos o menos;QUINDIO;QUINDIO;N;;08/01/2006;F;11;0;52.638424;CALARCÁ;CALARCÁ;COLOMBIA;3;3;COLOMBIA;N;0;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Dos;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 3;11 A 25 LIBROS;3 a 4;Mejor;No;No;No;Si;Si;Si;Si;Si;Es vendedor o trabaja en atención al público;Es operario de máquinas o conduce vehículos (taxita, chofer);49;39;37;25;53;31;49;236;46;46;53;41
20232;SB11202340040976;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;163130000718;163130000718;63;63130;719203;QUINDIO;MIXTO;UNICA;CALARCÁ;OFICIAL;INSTITUCION EDUCATIVA ANTONIO NARIÑO;ANTONIO NARIÑO;S;1;A-;2;2;1;S;63;63130;63;63130;Más de 3 horas;Entre 30 y 60 minutos;QUINDIO;QUINDIO;N;;10/11/2004;M;11;Menos de 10 horas;50.408566;CALARCÁ;CALARCÁ;COLOMBIA;2;2;COLOMBIA;N;0;No;1 o 2 veces por semana;1 o 2 veces por semana;Nunca o rara vez comemos eso;Dos;Primaria incompleta;Secundaria (Bachillerato) incompleta;Estrato 6;11 A 25 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;Si;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja por cuenta propia (por ejemplo plomero, electricista);11;11;36;19;11;8;37;191;46;44;36;33
20232;SB11202340265595;ESTUDIANTE;TI;URBANO;;A;TÉCNICO/ACADÉMICO;163001003535;163001003535;63;63001;716100;QUINDIO;MIXTO;UNICA;ARMENIA;OFICIAL;ESTABLECIMIENTO EDUCATIVO LAURA VICUÑA;LAURA VICU½A  ;S;3;B1;3;3;3;S;63;63001;63;63001;30 minutos o menos;No leo por entretenimiento;QUINDIO;QUINDIO;N;;10/07/2007;M;11;Menos de 10 horas;57.567009;ARMENIA;ARMENIA;COLOMBIA;3;3;COLOMBIA;N;0;Si, en efectivo;Todos o casi todos los días;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;3 a 4;Peor;Si;Si;No;Si;Si;Si;Si;No;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Es operario de máquinas o conduce vehículos (taxita, chofer);95;90;92;70;83;93;68;324;71;59;63;67
